ID_ALUNO,NU_ANO_CENSO,NO_CURSO,CO_ALUNO_CURSO,CO_ALUNO_CURSO_ORIGEM,TP_SEXO,NU_IDADE
C4EA9BF5E3E504DBC07245BCF24D438D,2019,ADMINISTRAÇÃO,41009620,"",1,26
60DC0B7901D7215BFE26E934578154DF,2019,ADMINISTRAÇÃO,41011246,"",2,25
74DF598D6308BFA20062C601FFC37397,2019,ADMINISTRAÇÃO,40745330,"",2,28
8372824113455721658B751D0366A737,2019,ADMINISTRAÇÃO,41012109,"",2,26
4DDBC6BAABC64546931C7CCFFA3E2F3B,2019,ADMINISTRAÇÃO,41012625,"",2,25
0BFF17F622F6A5495785D5F93DAE172E,2019,ADMINISTRAÇÃO,41013045,"",1,25
86EA6DA6E453B1127E98532E9BE094CD,2019,ADMINISTRAÇÃO,40745534,"",2,26
BEFDD233A2D6B7A3AB625BA68DAC452A,2019,ADMINISTRAÇÃO,41014677,"",2,25
7A8032CDA113AB8955B8C7F369696AD5,2019,ADMINISTRAÇÃO,40745638,"",1,25
EF6A72039606A64CAF4A8ADDF10874F0,2019,ADMINISTRAÇÃO,41015707,"",2,25
B3FE1D58D86A73882D9FBFBC04D21933,2019,ADMINISTRAÇÃO,40745657,"",1,27
128278734085F3C3E989D8C0CA2DD5F8,2019,ADMINISTRAÇÃO,41016457,"",2,25
641BB33D587CD0D44C15A7EAB48BC25C,2019,ADMINISTRAÇÃO,40745980,"",2,25
CCA98F92EDFF80D08FD8A2C0740C6939,2019,ADMINISTRAÇÃO,41020272,"",2,27
EB696573D9E29F24E9E6D0E44BB488B1,2019,ADMINISTRAÇÃO,40746389,"",2,24
3668F8D6146E4B0B238F246BF3CB2730,2019,ADMINISTRAÇÃO,41025297,"",2,25
38BC1D8C4949BB02C6076672FFD9F9E0,2019,ADMINISTRAÇÃO,41011467,"",2,25
E35A4B89BC2D41520E9083B6C6265FE7,2019,ADMINISTRAÇÃO,41013707,"",2,28
A51D4D934212ACE9E07440D675633ADE,2019,ADMINISTRAÇÃO,41013537,"",1,25
42B68E2080892EC2AB7D75FCEED0D704,2019,ADMINISTRAÇÃO,41023301,"",2,25
E91306EBA2A9C19712760332E5E16C3B,2019,ADMINISTRAÇÃO,41018443,"",2,24
2A72227B1BE30D64A9AC614D77475086,2019,ADMINISTRAÇÃO,41014267,"",2,24
43BC333118FDD780E6884353DFFACDA5,2019,ADMINISTRAÇÃO,40998066,"",1,24
1F06810FDF655C52C4C74CB22A519482,2019,ADMINISTRAÇÃO,41005634,"",2,25
B1DDE050D75E93744A4FD57E96AE28E4,2019,ADMINISTRAÇÃO,41006166,"",1,25
A351EE855C06EE1492B49F002A1BF253,2019,ADMINISTRAÇÃO,41003764,"",2,26
D608EB622CFB8394F185F8715D35FE04,2019,ADMINISTRAÇÃO,41021838,"",1,24
65BCFB06A9B11D554155DAFFB23DB50D,2019,ADMINISTRAÇÃO,41009564,"",2,29
EA752445C4713D50B45BDC959D933AFB,2019,ADMINISTRAÇÃO,41017114,"",2,25
6908EA74C6501054DD19C2B131BFBCA0,2019,ADMINISTRAÇÃO,40746093,"",2,25
BD2A672D7A7BC365AF43BF9F61C01CC8,2019,ADMINISTRAÇÃO,41025347,"",1,24
